 +3.52800000e+02 +3.05815933e+02 +2.62187872e+02 +2.21915815e+02 +1.84999762e+02 +1.51439715e+02 +1.21235672e+02 +9.43876338e+01 +7.08956005e+01 +5.07595719e+01 +3.39795482e+01 +2.05555291e+01 +1.04875149e+01 +3.77550535e+00 +4.19500595e-01 +4.19500595e-01 +3.77550535e+00 +1.04875149e+01 +2.05555291e+01 +3.39795482e+01 +5.07595719e+01 +7.08956005e+01 +9.43876338e+01 +1.21235672e+02 +1.51439715e+02 +1.84999762e+02 +2.21915815e+02 +2.62187872e+02 +3.05815933e+02 +3.52800000e+02
 +4.16448199e+02 +3.65256510e+02 +3.17420826e+02 +2.72941146e+02 +2.31817472e+02 +1.94049802e+02 +1.59638136e+02 +1.28582476e+02 +1.00882820e+02 +7.65391688e+01 +5.55515226e+01 +3.79198810e+01 +2.36442443e+01 +1.27246122e+01 +5.16098498e+00 +9.53362472e-01 +1.01744724e-01 +2.60613173e+00 +8.46652350e+00 +1.76829200e+01 +3.02553213e+01 +4.61837273e+01 +6.54681381e+01 +8.81085537e+01 +1.14104974e+02 +1.43457399e+02 +1.76165829e+02 +2.12230263e+02 +2.51650703e+02 +2.94427147e+02
 +4.85371745e+02 +4.29972434e+02 +3.77929127e+02 +3.29241825e+02 +2.83910527e+02 +2.41935235e+02 +2.03315947e+02 +1.68052664e+02 +1.36145386e+02 +1.07594112e+02 +8.23988432e+01 +6.05595792e+01 +4.20763199e+01 +2.69490654e+01 +1.51778156e+01 +6.76257061e+00 +1.70333036e+00 +9.48613476e-05 +1.65286412e+00 +6.66163814e+00 +1.50264169e+01 +2.67472004e+01 +4.18239887e+01 +6.02567818e+01 +8.20455796e+01 +1.07190382e+02 +1.35691189e+02 +1.67548001e+02 +2.02760818e+02 +2.41329640e+02
 +5.59570637e+02 +4.99963703e+02 +4.43712774e+02 +3.90817849e+02 +3.41278929e+02 +2.95096014e+02 +2.52269104e+02 +2.12798198e+02 +1.76683297e+02 +1.43924401e+02 +1.14521510e+02 +8.84746236e+01 +6.57837418e+01 +4.64488648e+01 +3.04699925e+01 +1.78471250e+01 +8.58026225e+00 +2.66940425e+00 +1.14551006e-01 +9.15702517e-01 +5.07285879e+00 +1.25860198e+01 +2.34551856e+01 +3.76803561e+01 +5.52615314e+01 +7.61987115e+01 +1.00491896e+02 +1.28141086e+02 +1.59146280e+02 +1.93507479e+02
 +6.39044875e+02 +5.75230319e+02 +5.14771767e+02 +4.57669220e+02 +4.03922677e+02 +3.53532140e+02 +3.06497607e+02 +2.62819079e+02 +2.22496556e+02 +1.85530037e+02 +1.51919523e+02 +1.21665014e+02 +9.47665100e+01 +7.12240105e+01 +5.10375157e+01 +3.42070257e+01 +2.07325404e+01 +1.06140599e+01 +3.85158415e+00 +4.45113158e-01 +3.94646921e-01 +3.70018544e+00 +1.03617287e+01 +2.03792767e+01 +3.37528295e+01 +5.04823871e+01 +7.05679494e+01 +9.40095164e+01 +1.20807088e+02 +1.50960665e+02
 +7.23794460e+02 +6.55772281e+02 +5.91106106e+02 +5.29795937e+02 +4.71841772e+02 +4.17243612e+02 +3.66001457e+02 +3.18115306e+02 +2.73585160e+02 +2.32411019e+02 +1.94592883e+02 +1.60130751e+02 +1.29024624e+02 +1.01274502e+02 +7.68803851e+01 +5.58422726e+01 +3.81601648e+01 +2.38340618e+01 +1.28639636e+01 +5.24987006e+00 +9.91781318e-01 +8.96973330e-02 +2.54361810e+00 +8.35354363e+00 +1.75194739e+01 +3.00414090e+01 +4.59193488e+01 +6.51532933e+01 +8.77432426e+01 +1.13689197e+02
 +8.13819391e+02 +7.41589589e+02 +6.72715792e+02 +6.07198000e+02 +5.45036213e+02 +4.86230430e+02 +4.30780652e+02 +3.78686879e+02 +3.29949111e+02 +2.84567347e+02 +2.42541588e+02 +2.03871834e+02 +1.68558085e+02 +1.36600341e+02 +1.07998601e+02 +8.27528658e+01 +6.08631355e+01 +4.23294100e+01 +2.71516892e+01 +1.53299732e+01 +6.86426198e+00 +1.75455549e+00 +8.53752129e-04 +1.60315677e+00 +6.56146455e+00 +1.48757771e+01 +2.65460944e+01 +4.15724164e+01 +5.99547432e+01 +8.16930748e+01
 +9.09119668e+02 +8.32682243e+02 +7.59600824e+02 +6.89875410e+02 +6.23506000e+02 +5.60492595e+02 +5.00835194e+02 +4.44533799e+02 +3.91588408e+02 +3.41999022e+02 +2.95765640e+02 +2.52888264e+02 +2.13366892e+02 +1.77201525e+02 +1.44392163e+02 +1.14938805e+02 +8.88414524e+01 +6.61001044e+01 +4.67147612e+01 +3.06854226e+01 +1.80120889e+01 +8.69475990e+00 +2.73343566e+00 +1.28116179e-01 +8.78801453e-01 +4.98549148e+00 +1.24481863e+01 +2.32668858e+01 +3.74415901e+01 +5.49722992e+01
 +1.00969529e+03 +9.29050244e+02 +8.51761202e+02 +7.77828165e+02 +7.07251133e+02 +6.40030105e+02 +5.76165082e+02 +5.15656064e+02 +4.58503051e+02 +4.04706042e+02 +3.54265039e+02 +3.07180040e+02 +2.63451045e+02 +2.23078056e+02 +1.86061071e+02 +1.52400091e+02 +1.22095116e+02 +9.51461451e+01 +7.15531793e+01 +5.13162183e+01 +3.44352621e+01 +2.09103106e+01 +1.07413638e+01 +3.92842184e+00 +4.71484613e-01 +3.70552139e-01 +3.62562442e+00 +1.02367015e+01 +2.02037833e+01 +3.35268698e+01
 +1.11554626e+03 +1.03069359e+03 +9.49196927e+02 +8.71056267e+02 +7.96271612e+02 +7.24842962e+02 +6.56770317e+02 +5.92053676e+02 +5.30693041e+02 +4.72688409e+02 +4.18039783e+02 +3.66747162e+02 +3.18810545e+02 +2.74229933e+02 +2.33005325e+02 +1.95136723e+02 +1.60624125e+02 +1.29467532e+02 +1.01666944e+02 +7.72223603e+01 +5.61337815e+01 +3.84012075e+01 +2.40246383e+01 +1.30040738e+01 +5.33951403e+00 +1.03095905e+00 +7.84088326e-02 +2.48186337e+00 +8.24132266e+00 +1.73567867e+01
 +1.31220000e+03 +1.22002973e+03 +1.13121546e+03 +1.04575719e+03 +9.63654935e+02 +8.84908680e+02 +8.09518430e+02 +7.37484185e+02 +6.68805945e+02 +6.03483710e+02 +5.41517479e+02 +4.82907253e+02 +4.27653032e+02 +3.75754816e+02 +3.27212604e+02 +2.82026397e+02 +2.40196195e+02 +2.01721998e+02 +1.66603805e+02 +1.34841617e+02 +1.06435434e+02 +8.13852556e+01 +5.96910820e+01 +4.13529132e+01 +2.63707491e+01 +1.47445898e+01 +6.47443520e+00 +1.56028537e+00 +2.14030916e-03 +1.80000000e+00
